policy,dim,slice,n,mean_r,median_r,win_rate,worst,max_consec_losers,sd,ci_lo,ci_hi,trading_days,trades_per_year,ann_dollars,thin,retired
flat_1r,symbol|month,AMZN|2026-07,1,1.000000,1.000000,1.000000,1.000000,0,0.000000,1.000000,1.000000,1,252.000,252000.00,1,0
flat_1r,symbol|month,AVGO|2025-08,1,1.000000,1.000000,1.000000,1.000000,0,0.000000,1.000000,1.000000,1,252.000,252000.00,1,0
flat_1r,symbol|month,AVGO|2025-09,1,1.000000,1.000000,1.000000,1.000000,0,0.000000,1.000000,1.000000,1,252.000,252000.00,1,0
flat_1r,symbol|month,AVGO|2025-10,1,1.000000,1.000000,1.000000,1.000000,0,0.000000,1.000000,1.000000,1,252.000,252000.00,1,0
flat_1r,symbol|month,AVGO|2025-11,2,1.000000,1.000000,1.000000,1.000000,0,0.000000,1.000000,1.000000,2,252.000,252000.00,1,0
flat_1r,symbol|month,AVGO|2025-12,4,-0.687500,-1.250000,0.250000,-1.250000,3,0.974279,-1.642293,0.267293,4,252.000,-173250.00,1,0
flat_1r,symbol|month,AVGO|2026-01,5,1.000000,1.000000,1.000000,1.000000,0,0.000000,1.000000,1.000000,5,252.000,252000.00,1,0
flat_1r,symbol|month,AVGO|2026-02,7,-0.263718,-1.096026,0.428571,-1.250000,2,1.095572,-1.075329,0.547893,6,294.000,-77533.08,1,0
flat_1r,symbol|month,AVGO|2026-03,5,0.122000,1.000000,0.600000,-1.250000,2,1.075888,-0.821058,1.065058,5,252.000,30744.00,1,0
flat_1r,symbol|month,AVGO|2026-04,5,-0.350000,-1.250000,0.400000,-1.250000,2,1.102270,-1.316183,0.616183,4,315.000,-110250.00,1,0
flat_1r,symbol|month,AVGO|2026-05,8,0.740634,1.000000,0.875000,-1.074930,1,0.686218,0.265109,1.216159,7,288.000,213302.54,1,0
flat_1r,symbol|month,AVGO|2026-06,2,-0.125000,-0.125000,0.500000,-1.250000,1,1.125000,-1.684170,1.434170,2,252.000,-31500.00,1,0
flat_1r,symbol|month,AVGO|2026-07,2,1.000000,1.000000,1.000000,1.000000,0,0.000000,1.000000,1.000000,2,252.000,252000.00,1,0
flat_1r,symbol|month,AVGO|2026-08,3,-0.500000,-1.250000,0.333333,-1.250000,1,1.060660,-1.700250,0.700250,3,252.000,-126000.00,1,0
flat_1r,symbol|month,BABA|2025-11,1,1.000000,1.000000,1.000000,1.000000,0,0.000000,1.000000,1.000000,1,252.000,252000.00,1,0
flat_1r,symbol|month,BABA|2025-12,1,-1.250000,-1.250000,0.000000,-1.250000,1,0.000000,-1.250000,-1.250000,1,252.000,-315000.00,1,0
flat_1r,symbol|month,BABA|2026-01,1,1.000000,1.000000,1.000000,1.000000,0,0.000000,1.000000,1.000000,1,252.000,252000.00,1,0
flat_1r,symbol|month,BABA|2026-02,1,-1.250000,-1.250000,0.000000,-1.250000,1,0.000000,-1.250000,-1.250000,1,252.000,-315000.00,1,0
flat_1r,symbol|month,BABA|2026-04,1,-1.250000,-1.250000,0.000000,-1.250000,1,0.000000,-1.250000,-1.250000,1,252.000,-315000.00,1,0
flat_1r,symbol|month,BABA|2026-05,1,-1.250000,-1.250000,0.000000,-1.250000,1,0.000000,-1.250000,-1.250000,1,252.000,-315000.00,1,0
flat_1r,symbol|month,BABA|2026-06,1,-1.250000,-1.250000,0.000000,-1.250000,1,0.000000,-1.250000,-1.250000,1,252.000,-315000.00,1,0
flat_1r,symbol|month,BABA|2026-07,2,-0.125000,-0.125000,0.500000,-1.250000,1,1.125000,-1.684170,1.434170,2,252.000,-31500.00,1,0
flat_1r,symbol|month,COIN|2025-08,4,0.437500,1.000000,0.750000,-1.250000,1,0.974279,-0.517293,1.392293,3,336.000,147000.00,1,0
flat_1r,symbol|month,COIN|2025-09,5,1.000000,1.000000,1.000000,1.000000,0,0.000000,1.000000,1.000000,3,420.000,420000.00,1,0
flat_1r,symbol|month,COIN|2025-10,6,0.625000,1.000000,0.833333,-1.250000,1,0.838525,-0.045960,1.295960,6,252.000,157500.00,1,0
flat_1r,symbol|month,COIN|2025-11,4,1.000000,1.000000,1.000000,1.000000,0,0.000000,1.000000,1.000000,4,252.000,252000.00,1,0
flat_1r,symbol|month,COIN|2025-12,10,-0.125000,-0.125000,0.500000,-1.250000,4,1.125000,-0.822282,0.572282,9,280.000,-35000.00,1,0
flat_1r,symbol|month,COIN|2026-01,2,-0.054545,-0.054545,0.500000,-1.109091,1,1.054545,-1.516071,1.406980,2,252.000,-13745.45,1,0
flat_1r,symbol|month,COIN|2026-02,8,-0.406250,-1.250000,0.375000,-1.250000,5,1.089277,-1.161080,0.348580,7,288.000,-117000.00,1,0
flat_1r,symbol|month,COIN|2026-03,7,-0.262072,-1.084507,0.428571,-1.250000,2,1.094328,-1.072762,0.548617,6,294.000,-77049.30,1,0
flat_1r,symbol|month,COIN|2026-04,9,-0.704698,-1.208355,0.222222,-1.250000,4,0.913941,-1.301806,-0.107590,7,324.000,-228322.21,1,0
flat_1r,symbol|month,COIN|2026-05,6,-0.875000,-1.250000,0.166667,-1.250000,4,0.838525,-1.545960,-0.204040,6,252.000,-220500.00,1,0
flat_1r,symbol|month,COIN|2026-06,7,-0.251429,-1.010000,0.428571,-1.250000,2,1.086612,-1.056402,0.553545,6,294.000,-73920.00,1,0
flat_1r,symbol|month,COIN|2026-07,7,0.035714,1.000000,0.571429,-1.250000,1,1.113461,-0.789149,0.860578,7,252.000,9000.00,1,0
flat_1r,symbol|month,COIN|2026-08,1,1.000000,1.000000,1.000000,1.000000,0,0.000000,1.000000,1.000000,1,252.000,252000.00,1,0
flat_1r,symbol|month,CRM|2025-08,2,-0.125000,-0.125000,0.500000,-1.250000,1,1.125000,-1.684170,1.434170,2,252.000,-31500.00,1,0
flat_1r,symbol|month,CRM|2025-09,2,-0.125000,-0.125000,0.500000,-1.250000,1,1.125000,-1.684170,1.434170,2,252.000,-31500.00,1,0
flat_1r,symbol|month,CRM|2025-10,2,-0.050000,-0.050000,0.500000,-1.100000,1,1.050000,-1.505226,1.405226,2,252.000,-12600.00,1,0
flat_1r,symbol|month,CRM|2025-11,1,-1.071144,-1.071144,0.000000,-1.071144,1,0.000000,-1.071144,-1.071144,1,252.000,-269928.29,1,0
flat_1r,symbol|month,CRM|2025-12,2,1.000000,1.000000,1.000000,1.000000,0,0.000000,1.000000,1.000000,2,252.000,252000.00,1,0
flat_1r,symbol|month,CRM|2026-01,3,0.333333,1.000000,0.666667,-1.000000,1,0.942809,-0.733556,1.400222,2,378.000,126000.00,1,0
flat_1r,symbol|month,CRM|2026-02,4,0.437500,1.000000,0.750000,-1.250000,1,0.974279,-0.517293,1.392293,3,336.000,147000.00,1,0
flat_1r,symbol|month,CRM|2026-03,4,-0.686538,-1.248077,0.250000,-1.250000,3,0.973725,-1.640789,0.267712,4,252.000,-173007.69,1,0
