sym,day,entry_i,side,sgrade,book_r,clock_st_100_trail,clock_st_30_70,clock_st_30_70_be,clock_st_50_50,clock_st_50_50_be,clock_st_70_30,clock_st_70_30_be,clock_st_50_25x4r_25,clock_st_50_25x4r_25_be,clock_st_50_20x4r_20x5r,clock_st_50_20x4r_20x5r_be,clock_st_30_30x4r_30x5r,clock_st_30_30x4r_30x5r_be,clock_st_100_trail_be,clock_oracle_stopped,clock_oracle_best_close,clock_oracle_MFE,noclock_st_100_trail,noclock_st_30_70,noclock_st_30_70_be,noclock_st_50_50,noclock_st_50_50_be,noclock_st_70_30,noclock_st_70_30_be,noclock_st_50_25x4r_25,noclock_st_50_25x4r_25_be,noclock_st_50_20x4r_20x5r,noclock_st_50_20x4r_20x5r_be,noclock_st_30_30x4r_30x5r,noclock_st_30_30x4r_30x5r_be,noclock_st_100_trail_be,noclock_oracle_stopped,noclock_oracle_best_close,noclock_oracle_MFE
PLTR,2025-08-18,32,S,C,3.068,0.727,1.360,1.360,1.782,1.782,2.204,2.204,1.782,1.782,1.782,1.782,1.360,1.360,0.727,4.205,4.205,4.341,0.727,1.360,1.360,1.782,1.782,2.204,2.204,1.782,1.782,1.782,1.782,1.360,1.360,0.727,4.205,5.045,5.273
PLTR,2025-08-22,32,L,A,1.788,1.820,1.672,1.672,1.574,1.574,1.476,1.476,1.574,1.574,1.574,1.574,1.672,1.672,1.820,4.482,4.482,4.540,1.820,1.672,1.672,1.574,1.574,1.476,1.476,1.574,1.574,1.574,1.574,1.672,1.672,1.820,5.460,5.460,5.672
PLTR,2025-08-29,21,S,S,2.096,2.952,2.792,2.792,2.686,2.686,2.580,2.580,2.948,2.948,3.305,3.305,3.721,3.721,-0.106,4.341,4.341,7.442,2.952,2.792,2.792,2.686,2.686,2.580,2.580,2.948,2.948,3.305,3.305,3.721,3.721,-0.106,4.341,4.341,7.442
PLTR,2025-10-15,11,L,C,-1.000,-1.235,-1.235,-1.235,-1.235,-1.235,-1.235,-1.235,-1.235,-1.235,-1.235,-1.235,-1.235,-1.235,-1.235,0.132,3.676,3.735,-1.235,-1.235,-1.235,-1.235,-1.235,-1.235,-1.235,-1.235,-1.235,-1.235,-1.235,-1.235,-1.235,-1.235,0.132,3.676,3.735
PLTR,2025-10-27,5,L,A,1.822,0.133,0.305,0.305,0.420,0.420,0.535,0.535,0.420,0.420,0.420,0.420,0.305,0.305,0.133,2.175,2.175,2.600,0.133,0.305,0.305,0.420,0.420,0.535,0.535,0.420,0.420,0.420,0.420,0.305,0.305,0.133,2.175,2.175,2.600
PLTR,2025-10-28,36,L,C,-1.000,-1.200,-1.200,-1.200,-1.200,-1.200,-1.200,-1.200,-1.200,-1.200,-1.200,-1.200,-1.200,-1.200,-0.700,0.275,0.275,0.562,-1.200,-1.200,-1.200,-1.200,-1.200,-1.200,-1.200,-1.200,-1.200,-1.200,-1.200,-1.200,-1.200,-0.700,0.275,2.850,3.350
PLTR,2025-10-29,11,L,C,2.929,11.629,9.743,9.743,8.486,8.486,7.229,7.229,6.579,6.579,5.634,5.634,5.466,5.466,11.629,16.952,16.952,17.571,11.629,9.743,9.743,8.486,8.486,7.229,7.229,6.579,6.579,5.634,5.634,5.466,5.466,11.629,22.314,22.314,23.057
PLTR,2025-11-07,16,S,A,-1.000,-1.033,-1.033,-1.033,-1.033,-1.033,-1.033,-1.033,-1.033,-1.033,-1.033,-1.033,-1.033,-1.033,-0.627,0.669,1.613,1.940,-1.033,-1.033,-1.033,-1.033,-1.033,-1.033,-1.033,-1.033,-1.033,-1.033,-1.033,-1.033,-1.033,-0.627,0.669,3.813,4.012
PLTR,2025-11-13,40,S,C,-1.000,-0.686,-1.007,-1.007,-1.007,-1.007,-1.007,-1.007,-1.007,-1.007,-1.007,-1.007,-1.007,-1.007,-0.686,0.229,6.337,6.671,-0.686,-1.007,-1.007,-1.007,-1.007,-1.007,-1.007,-1.007,-1.007,-1.007,-1.007,-1.007,-1.007,-0.686,0.229,10.449,10.698
PLTR,2025-11-21,53,S,A,5.848,8.061,7.451,7.451,7.045,7.045,6.639,6.639,6.030,6.030,5.621,5.621,5.315,5.315,8.061,13.602,13.602,14.545,8.061,7.451,7.451,7.045,7.045,6.639,6.639,6.030,6.030,5.621,5.621,5.315,5.315,8.061,17.091,17.091,17.424
PLTR,2025-12-08,19,L,C,-1.000,-1.250,-1.128,-1.128,-1.128,-1.128,-1.128,-1.128,-1.128,-1.128,-1.128,-1.128,-1.128,-1.128,-0.574,1.128,1.128,2.249,-1.250,-1.128,-1.128,-1.128,-1.128,-1.128,-1.128,-1.128,-1.128,-1.128,-1.128,-1.128,-1.128,-0.574,1.128,1.468,2.249
PLTR,2026-01-02,31,S,C,3.858,6.657,5.629,5.629,4.944,4.944,4.259,4.259,4.280,4.280,4.081,4.081,4.335,4.335,6.657,13.614,13.614,14.200,6.657,5.629,5.629,4.944,4.944,4.259,4.259,4.280,4.280,4.081,4.081,4.335,4.335,6.657,31.947,31.947,32.000
PLTR,2026-01-05,8,S,C,1.842,-1.097,-1.097,-1.097,-1.097,-1.097,-1.097,-1.097,-1.097,-1.097,-1.097,-1.097,-1.097,-1.097,-1.097,2.458,2.458,3.903,-1.097,-1.097,-1.097,-1.097,-1.097,-1.097,-1.097,-1.097,-1.097,-1.097,-1.097,-1.097,-1.097,-1.097,2.458,2.458,3.903
PLTR,2026-01-09,21,S,A,2.198,1.031,1.978,1.978,2.609,2.609,3.241,3.241,3.352,3.352,3.203,3.203,2.869,2.869,1.031,4.188,4.188,5.094,1.031,1.978,1.978,2.609,2.609,3.241,3.241,3.352,3.352,3.203,3.203,2.869,2.869,1.031,4.188,4.188,5.094
PLTR,2026-01-14,8,L,C,-1.000,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,0.366,1.026,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,0.366,1.026
PLTR,2026-01-15,23,L,C,-1.000,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-0.417,2.202,2.202,2.762,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-0.417,2.202,2.238,2.762
PLTR,2026-01-21,18,S,C,-1.000,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-1.703,0.622,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,14.324,14.649
PLTR,2026-01-26,9,L,C,1.184,1.333,1.323,1.323,1.317,1.317,1.310,1.310,1.317,1.317,1.317,1.317,1.323,1.323,1.333,3.617,3.617,3.832,1.333,1.323,1.323,1.317,1.317,1.310,1.310,1.317,1.317,1.317,1.317,1.323,1.323,1.333,3.617,3.617,3.832
PLTR,2026-02-09,21,L,A,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,9.065,9.351,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,15.892,16.270
PLTR,2026-02-18,33,L,C,0.257,-1.204,-0.954,-0.319,-0.787,-0.333,-0.620,-0.348,-0.787,-0.333,-0.787,-0.333,-0.954,-0.319,-0.370,0.667,2.000,2.079,-1.204,-0.954,-0.319,-0.787,-0.333,-0.620,-0.348,-0.787,-0.333,-0.787,-0.333,-0.954,-0.319,-0.370,0.667,2.000,2.079
PLTR,2026-02-23,63,S,A,-1.000,-0.396,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-0.396,1.458,4.542,4.971,-0.396,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-0.396,1.458,5.584,6.333
PLTR,2026-03-02,49,L,C,4.645,5.355,4.465,4.465,3.871,3.871,3.277,3.277,3.532,3.532,3.529,3.529,3.952,3.952,-0.549,9.137,9.137,9.548,3.871,3.426,3.426,3.129,3.129,2.832,2.832,3.161,3.161,3.381,3.381,3.803,3.803,-0.549,9.137,9.137,9.548
