sym,day,entry_i,side,sgrade,book_r,clock_flat_1r,clock_flat_2r,clock_hod_only,clock_30_30_30_10,clock_50_20_20_10,clock_flat_3r,clock_flat_4r,clock_flat_5r,noclock_flat_1r,noclock_flat_2r,noclock_hod_only,noclock_30_30_30_10,noclock_50_20_20_10,noclock_flat_3r,noclock_flat_4r,noclock_flat_5r
TSLA,2025-10-15,49,L,C,3.368,1.000,2.000,4.457,4.445,4.448,3.000,4.000,5.000,1.000,2.000,4.457,4.445,4.448,3.000,4.000,5.000
TSLA,2025-11-03,44,L,C,-1.000,-1.090,-1.090,-1.090,-1.202,-1.170,-1.090,-1.090,-1.090,-1.090,-1.090,-1.090,-1.202,-1.170,-1.090,-1.090,-1.090
TSLA,2025-11-05,9,S,S,2.298,1.000,2.000,1.782,2.272,2.132,3.000,-1.117,-1.117,1.000,2.000,1.782,2.272,2.132,3.000,-1.117,-1.117
TSLA,2025-11-07,16,S,C,0.936,1.000,2.000,-0.659,-0.235,-0.356,-1.250,-1.250,-1.250,1.000,2.000,-0.659,-0.235,-0.356,-1.250,-1.250,-1.250
TSLA,2025-12-03,10,L,A,1.007,1.000,2.000,0.423,0.511,0.486,3.000,4.000,2.803,1.000,2.000,0.423,0.511,0.486,3.000,4.000,5.000
TSLA,2025-12-04,71,L,A,-1.000,-1.035,-1.035,-1.035,-1.186,-1.143,-1.035,-1.035,-1.035,-1.035,-1.035,-1.035,-1.186,-1.143,-1.035,-1.035,-1.035
TSLA,2025-12-05,12,L,C,1.935,1.000,2.000,4.140,3.812,3.906,3.000,4.000,2.130,1.000,2.000,4.140,3.812,3.906,3.000,4.000,-1.003
TSLA,2025-12-12,31,L,C,-1.000,-1.250,-1.250,-1.250,-1.097,-1.141,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-1.097,-1.141,-1.250,-1.250,-1.250
TSLA,2025-12-17,7,L,C,-1.000,1.000,-1.250,-1.250,-1.212,-1.223,-1.250,-1.250,-1.250,1.000,-1.250,-1.250,-1.212,-1.223,-1.250,-1.250,-1.250
TSLA,2025-12-29,8,S,S,2.032,1.000,2.000,0.064,0.724,0.535,3.000,4.000,-1.250,1.000,2.000,0.064,0.724,0.535,3.000,4.000,-1.250
TSLA,2026-01-14,85,S,C,-1.000,-0.010,-0.010,-0.010,-0.010,-0.010,-0.010,-0.010,-0.010,1.000,-1.250,-1.250,-0.746,-0.890,-1.250,-1.250,-1.250
TSLA,2026-01-20,37,S,C,-1.000,-1.015,-1.015,-1.015,-1.020,-1.018,-1.015,-1.015,-1.015,-1.015,-1.015,-1.015,-1.020,-1.018,-1.015,-1.015,-1.015
TSLA,2026-01-23,87,L,A,2.250,1.000,2.000,2.844,2.844,2.844,3.000,2.844,2.844,1.000,2.000,1.176,1.272,1.244,3.000,-1.075,-1.075
TSLA,2026-02-04,35,S,S,2.889,1.000,2.000,2.040,2.851,2.619,3.000,4.000,5.000,1.000,2.000,2.040,2.851,2.619,3.000,4.000,5.000
TSLA,2026-02-10,44,L,A,-1.000,1.000,2.000,3.102,3.102,3.102,3.000,3.102,3.102,1.000,2.000,-1.250,-0.940,-1.028,3.000,-1.250,-1.250
TSLA,2026-03-18,38,L,C,-1.000,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250
TSLA,2026-03-20,33,S,C,1.718,1.000,2.000,0.562,0.724,0.678,-1.250,-1.250,-1.250,1.000,2.000,0.562,0.724,0.678,-1.250,-1.250,-1.250
TSLA,2026-03-27,31,S,S,-1.000,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250
TSLA,2026-04-09,16,S,C,1.295,1.000,2.000,5.554,6.008,5.878,3.000,4.000,5.000,1.000,2.000,5.554,6.008,5.878,3.000,4.000,5.000
TSLA,2026-04-30,45,S,C,-1.000,1.000,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,1.000,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250
TSLA,2026-05-13,60,L,S,3.353,1.000,2.000,2.597,3.414,3.181,3.000,4.000,5.000,1.000,2.000,2.597,3.414,3.181,3.000,4.000,5.000
TSLA,2026-05-19,19,S,A,-1.000,1.000,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,1.000,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250
TSLA,2026-05-19,27,S,A,3.145,1.000,2.000,6.101,5.223,5.474,3.000,4.000,5.000,1.000,2.000,6.101,5.223,5.474,3.000,4.000,5.000
TSLA,2026-06-09,22,L,C,-1.000,-1.216,-1.216,-1.216,-0.996,-1.059,-1.216,-1.216,-1.216,-1.216,-1.216,-1.216,-0.996,-1.059,-1.216,-1.216,-1.216
TSLA,2026-06-22,12,L,C,1.423,1.000,2.000,2.606,1.795,2.026,3.000,4.000,5.000,1.000,2.000,2.606,1.795,2.026,3.000,4.000,5.000
TSLA,2026-06-25,10,S,C,-1.000,1.000,2.000,-1.250,-1.006,-1.076,-1.250,-1.250,-1.250,1.000,2.000,-1.250,-1.006,-1.076,-1.250,-1.250,-1.250
TSLA,2026-07-28,27,S,A,-1.000,1.000,2.000,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,1.000,2.000,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250
TSLA,2026-08-03,17,L,A,3.779,1.000,2.000,3.736,4.141,4.025,3.000,4.000,5.000,1.000,2.000,3.736,4.141,4.025,3.000,4.000,5.000
AAPL,2024-08-23,34,L,C,0.421,1.000,2.000,1.474,1.787,1.697,-1.250,-1.250,-1.250,1.000,2.000,1.474,1.787,1.697,-1.250,-1.250,-1.250
AAPL,2025-01-08,16,S,C,-1.000,-1.073,-1.073,-1.073,-1.197,-1.162,-1.073,-1.073,-1.073,-1.073,-1.073,-1.073,-1.197,-1.162,-1.073,-1.073,-1.073
AAPL,2025-01-29,57,L,S,1.878,1.000,2.000,2.216,1.668,1.824,3.000,2.401,2.401,1.000,2.000,2.216,1.668,1.824,3.000,-1.250,-1.250
AAPL,2025-02-12,43,L,C,2.240,1.000,2.000,2.933,3.275,3.177,3.000,4.000,5.000,1.000,2.000,2.933,3.275,3.177,3.000,4.000,5.000
AAPL,2025-03-25,15,L,A,1.574,1.000,2.000,0.745,1.162,1.043,3.000,3.606,3.606,1.000,2.000,0.745,1.162,1.043,3.000,4.000,3.617
AAPL,2025-04-04,84,S,A,-1.000,1.000,2.000,-1.250,-1.250,-1.250,3.000,-1.250,-1.250,1.000,2.000,-1.250,-1.250,-1.250,3.000,-1.250,-1.250
AAPL,2025-05-22,12,S,C,-1.000,1.000,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,1.000,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250
AAPL,2025-06-13,20,S,A,2.678,1.000,2.000,1.206,1.824,1.647,3.000,4.000,0.632,1.000,2.000,1.206,1.824,1.647,3.000,4.000,-1.015
AAPL,2025-07-01,23,L,C,1.081,1.000,2.000,2.368,2.147,2.211,3.000,4.000,-1.250,1.000,2.000,2.368,2.147,2.211,3.000,4.000,-1.250
AAPL,2025-09-16,19,L,S,1.728,1.000,2.000,0.851,2.982,2.373,3.000,4.000,0.347,1.000,2.000,0.851,2.982,2.373,3.000,4.000,-0.789
AAPL,2026-01-20,22,S,C,2.372,1.000,2.000,1.962,2.599,2.417,3.000,1.462,1.462,1.000,2.000,1.962,2.599,2.417,3.000,4.000,5.000
AAPL,2026-02-19,61,L,C,1.186,1.000,1.267,1.267,1.267,1.267,1.267,1.267,1.267,1.000,2.000,2.291,2.136,2.180,-1.070,-1.070,-1.070
AAPL,2026-05-21,24,L,C,0.324,-1.051,-1.051,0.103,0.082,0.088,-1.051,-1.051,-1.051,-1.051,-1.051,0.103,0.082,0.088,-1.051,-1.051,-1.051
AAPL,2026-06-09,9,S,C,1.877,1.000,2.000,1.370,0.902,1.036,3.000,4.000,5.000,1.000,2.000,1.370,0.902,1.036,3.000,4.000,5.000
AAPL,2026-06-10,66,S,C,-1.000,1.000,2.000,1.076,1.076,1.076,1.076,1.076,1.076,1.000,2.000,-1.000,-0.798,-0.856,-1.000,-1.000,-1.000
AAPL,2026-06-25,27,S,C,-1.000,1.000,-1.250,-1.250,-0.845,-0.961,-1.250,-1.250,-1.250,1.000,-1.250,-1.250,-0.845,-0.961,-1.250,-1.250,-1.250
